genre_principal,averageRating
Game-Show,8.5
Music,7.388011283497885
News,7.2
Documentary,7.192701332390048
Biography,6.956043366251611
Sport,6.772448979591837
Reality-TV,6.673913043478261
History,6.638117647058823
Talk-Show,6.616666666666666
Animation,6.379859154929577
Film-Noir,6.358823529411764
Musical,6.271871968962173
\N,6.241567128523651
Drama,6.23758781660196
Western,6.155244755244755
Romance,6.07649416909621
Family,6.073118811881188
Crime,6.05565141787052
Adventure,5.982962174553791
War,5.960146699266503
Comedy,5.903126076742365
Mystery,5.871552878179385
Action,5.732636838519191
Fantasy,5.677950310559006
Thriller,5.591498685363716
Adult,5.525453172205438
Sci-Fi,5.182616487455197
Horror,4.757745927318296
